epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.615,1.63836,0.89722,1.07623,0.83992,0.74573,0.79698,0.42137,1.57249,0.72046,0.9919,0.000665365,0.000665365,0.000665365
2,1313.3,1.47433,0.70192,0.999,0.85721,0.76591,0.81603,0.44891,1.48479,0.68881,0.9635,0.00129906,0.00129906,0.00129906
3,1739.58,1.44932,0.6857,0.98655,0.84884,0.77058,0.8143,0.45281,1.45966,0.69567,0.96337,0.00189976,0.00189976,0.00189976
4,2885.4,1.42177,0.66335,0.97808,0.87603,0.78472,0.83259,0.47678,1.4242,0.64977,0.95278,0.0018515,0.0018515,0.0018515
5,3452.83,1.39434,0.6454,0.96798,0.87904,0.78269,0.83214,0.48499,1.39917,0.6351,0.94816,0.001802,0.001802,0.001802
6,4832.67,1.38613,0.63705,0.96527,0.87866,0.7955,0.84237,0.49009,1.39641,0.6321,0.94362,0.0017525,0.0017525,0.0017525
7,5449.41,1.36434,0.62522,0.95938,0.88103,0.79564,0.84359,0.49369,1.38724,0.62963,0.94142,0.001703,0.001703,0.001703
8,6272.43,1.36011,0.61813,0.95529,0.88909,0.80427,0.84862,0.49651,1.39118,0.6054,0.9407,0.0016535,0.0016535,0.0016535
9,7146.13,1.35143,0.61061,0.95337,0.88904,0.8054,0.84683,0.4951,1.39057,0.60345,0.94082,0.001604,0.001604,0.001604
10,7536.12,1.34014,0.60389,0.95005,0.88929,0.80273,0.85447,0.50578,1.3567,0.60754,0.93173,0.0015545,0.0015545,0.0015545
11,7977.99,1.33229,0.59678,0.94816,0.89099,0.80406,0.85707,0.50717,1.35894,0.60165,0.93189,0.001505,0.001505,0.001505
12,8579.55,1.33029,0.59545,0.94608,0.89393,0.81176,0.86062,0.50938,1.36357,0.59505,0.93078,0.0014555,0.0014555,0.0014555
13,9119.6,1.32562,0.59073,0.94514,0.89196,0.81246,0.85669,0.49811,1.40216,0.59437,0.93757,0.001406,0.001406,0.001406
14,10040.3,1.3149,0.5847,0.94112,0.89537,0.81869,0.86879,0.51873,1.34029,0.58618,0.92511,0.0013565,0.0013565,0.0013565
15,10509.8,1.31202,0.58164,0.94112,0.89828,0.81469,0.86753,0.51822,1.34197,0.58285,0.92703,0.001307,0.001307,0.001307
16,11096.6,1.30702,0.57832,0.93917,0.89787,0.82162,0.86956,0.52188,1.33706,0.57875,0.92566,0.0012575,0.0012575,0.0012575
17,11499.7,1.30605,0.57589,0.93849,0.89732,0.81912,0.86717,0.5184,1.34151,0.57616,0.92633,0.001208,0.001208,0.001208
18,11944.3,1.29857,0.57105,0.93727,0.89657,0.82423,0.87192,0.52228,1.33814,0.57308,0.92474,0.0011585,0.0011585,0.0011585
19,13315.9,1.29581,0.56803,0.93689,0.90053,0.82374,0.87207,0.52228,1.33619,0.56962,0.92302,0.001109,0.001109,0.001109
20,13677.7,1.28896,0.5627,0.93515,0.90114,0.82096,0.87215,0.52485,1.32636,0.56879,0.92365,0.0010595,0.0010595,0.0010595
21,14457.6,1.28852,0.5618,0.93376,0.89864,0.82919,0.87354,0.52958,1.31439,0.56402,0.92045,0.00101,0.00101,0.00101
22,15074.2,1.28393,0.56006,0.93268,0.89922,0.82954,0.8729,0.5281,1.31592,0.56262,0.91993,0.0009605,0.0009605,0.0009605
23,15483.9,1.27777,0.55404,0.93078,0.9055,0.82611,0.87482,0.52897,1.31259,0.56047,0.91897,0.000911,0.000911,0.000911
24,16417.1,1.27549,0.55349,0.93122,0.90188,0.82876,0.87566,0.53095,1.3145,0.55839,0.91965,0.0008615,0.0008615,0.0008615
25,16982.1,1.27226,0.55088,0.93061,0.9041,0.82969,0.87543,0.53209,1.3139,0.55606,0.91856,0.000812,0.000812,0.000812
26,17336.9,1.27381,0.55095,0.92863,0.90102,0.8335,0.87565,0.53406,1.30702,0.55446,0.91695,0.0007625,0.0007625,0.0007625
27,18001.4,1.26833,0.54573,0.92828,0.90285,0.8351,0.87705,0.53516,1.30421,0.55089,0.91656,0.000713,0.000713,0.000713
28,18723.2,1.2667,0.54342,0.92771,0.90585,0.83267,0.88289,0.53507,1.3115,0.5497,0.91767,0.0006635,0.0006635,0.0006635
29,19216.4,1.25749,0.53974,0.92414,0.90555,0.83368,0.88254,0.53673,1.30153,0.54709,0.91697,0.000614,0.000614,0.000614
30,19483.7,1.25464,0.53921,0.92473,0.90711,0.83305,0.88276,0.53789,1.30241,0.54703,0.91611,0.0005645,0.0005645,0.0005645
31,20470.1,1.25055,0.53215,0.92628,0.9072,0.82873,0.88311,0.53764,1.30021,0.54898,0.91542,0.000515,0.000515,0.000515
32,20826,1.24716,0.52972,0.92442,0.90604,0.83626,0.88561,0.53959,1.29916,0.5451,0.91568,0.0004655,0.0004655,0.0004655
33,24877.5,1.24263,0.52627,0.92261,0.90748,0.83422,0.88466,0.53807,1.30179,0.5418,0.91594,0.000416,0.000416,0.000416
